Final5k,Final10k,FinalHalf,FinalFull,MPH5K,MPH10K,MPHHalf,MPHFull
1 : 03 : 46,1 : 49 : 46,3 : 31 : 5,6 : 59 : 14,2.916884474647151,3.3890069845126027,3.723647848401105,3.7497018366860138
0 : 37 : 47,1 : 15 : 17,2 : 56 : 56,6 : 22 : 34,4.922805469783856,4.941332742970999,4.442351168048229,4.109087740698788
0 : 59 : 16,1 : 45 : 58,3 : 37 : 46,7 : 6 : 44,3.138357705286839,3.5105379050015726,3.6093678248890244,3.6837994063427586
0 : 32 : 47,1 : 02 : 36,2 : 36 : 19,4 : 51 : 21,5.673614641586172,5.942492012779552,5.028254611365817,5.395572335678736
1 : 16 : 27,1 : 41 : 07,3 : 33 : 3,7 : 9 : 29,2.432962720732505,3.6789187407285318,3.6892748181178123,3.6602118824944703
0 : 46 : 38,1 : 24 : 30,3 : 8 : 24,6 : 35 : 54,3.9885632594710505,4.402366863905325,4.171974522292993,3.9706996716342515
0 : 26 : 27,0 : 48 : 25,1 : 55 : 51,3 : 56 : 6,7.032136105860114,7.68330464716007,6.784635304272767,6.658195679796696
1 : 02 : 24,1 : 32 : 21,3 : 6 : 47,7 : 0 : 1,2.980769230769231,4.0281537628586905,4.208084233068618,3.742708622673703
0 : 42 : 44,1 : 31 : 46,3 : 12 : 34,6 : 56 : 55,4.352574102964119,4.05375953505267,4.0817033062142984,3.770537677393564
0 : 33 : 52,1 : 05 : 28,2 : 42 : 57,7 : 3 : 13,5.4921259842519685,5.682281059063136,4.823565510892911,3.714409482928366
0 : 27 : 47,0 : 56 : 23,2 : 24 : 58,4 : 47 : 53,6.694661067786442,6.597694354123559,5.421936077259139,5.460545359810109
0 : 43 : 03,1 : 13 : 02,2 : 39 : 2,6 : 10 : 40,4.3205574912891995,5.093564582382474,4.942360092223852,4.241007194244604
1 : 01 : 22,1 : 35 : 08,3 : 5 : 15,6 : 45 : 4,3.030961434003259,3.910301331464611,4.242914979757085,3.880842659644503
1 : 17 : 08,1 : 50 : 45,3 : 25 : 54,7 : 16 : 51,2.411408815903198,3.3589164785553045,3.8173870811073334,3.5984891839304107
1 : 25 : 04,2 : 01 : 32,3 : 53 : 7,7 : 16 : 34,2.1865203761755487,3.06088864509051,3.371702294988203,3.600824616324349
0 : 26 : 41,1 : 00 : 26,2 : 16 : 51,5 : 10 : 8,6.970643347907558,6.155543298400441,5.743514797223237,5.068787618228719
1 : 34 : 27,1 : 57 : 57,3 : 45 : 37,7 : 16 : 16,1.96929592376919,3.1538787621873676,3.483785181354805,3.6033007334963325
0 : 34 : 32,1 : 13 : 23,2 : 35 : 44,6 : 16 : 39,5.386100386100387,5.069270951623893,5.047089041095891,4.173636001592991
0 : 24 : 05,0 : 50 : 34,2 : 5 : 47,5 : 17 : 6,7.723183391003461,7.356624917600527,6.248840598913476,4.957426679280983
0 : 54 : 57,1 : 40 : 33,3 : 33 : 26,7 : 14 : 52,3.3848953594176523,3.699651914470413,3.6826487583945022,3.61490111911697
0 : 48 : 48,1 : 47 : 27,2 : 59 : 9,6 : 41 : 12,3.811475409836066,3.462075383899488,4.387384873011443,3.918245264207378
1 : 20 : 05,2 : 13 : 20,4 : 2 : 32,7 : 15 : 4,2.3225806451612905,2.79,3.2407916437603075,3.613239350291143
0 : 22 : 47,0 : 48 : 47,2 : 5 : 18,4 : 44 : 47,8.163862472567667,7.62555517594807,6.272944932162809,5.519985954234213
0 : 54 : 02,1 : 40 : 19,3 : 37 : 46,5 : 37 : 58,3.442319555829735,3.708257185579,3.6093678248890244,4.651346286616038
0 : 35 : 08,1 : 07 : 05,2 : 27 : 2,5 : 30 : 10,5.294117647058824,5.545341614906833,5.3457265926093855,4.761231701161029
0 : 31 : 15,1 : 06 : 03,2 : 27 : 41,6 : 20 : 32,5.952,5.632096896290689,5.322198397472068,4.1310441485634195
0 : 52 : 38,1 : 36 : 58,3 : 22 : 14,6 : 57 : 20,3.533882203926536,3.836369886558955,3.8865996373825618,3.7667731629392973
1 : 07 : 26,1 : 35 : 39,3 : 21 : 31,6 : 33 : 45,2.7582797825012357,3.889179299529535,3.9004218013398395,3.992380952380952
0 : 31 : 36,1 : 25 : 42,2 : 35 : 43,5 : 31 : 33,5.886075949367088,4.340723453908985,5.047629241143101,4.7413663097572005
0 : 50 : 46,1 : 33 : 03,3 : 9 : 36,6 : 57 : 49,3.6638214051214706,3.9978506179473405,4.1455696202531644,3.7624157325780847
0 : 50 : 45,2 : 28 : 04,3 : 9 : 36,6 : 57 : 48,3.665024630541872,2.5123818099954978,4.1455696202531644,3.7625658209669695
0 : 40 : 42,1 : 28 : 50,2 : 56 : 54,5 : 51 : 48,4.57002457002457,4.187617260787993,4.443188241944601,4.468447981807845
0 : 28 : 06,0 : 57 : 40,2 : 3 : 37,4 : 22 : 24,6.619217081850533,6.450867052023122,6.3583659161386,5.990853658536586
0 : 58 : 21,1 : 43 : 53,3 : 13 : 15,6 : 5 : 3,3.1876606683804627,3.580940157227659,4.067270375161708,4.3062594165182855
0 : 30 : 29,1 : 01 : 00,2 : 24 : 11,5 : 33 : 16,6.101694915254237,6.0983606557377055,5.451392902554618,4.716943388677736
0 : 44 : 46,1 : 38 : 22,3 : 17 : 10,6 : 36 : 48,4.15487714072971,3.781768891901051,3.9864750633981405,3.9616935483870965
0 : 39 : 17,1 : 07 : 34,2 : 29 : 48,5 : 11 : 51,4.7348324140857025,5.505673408978787,5.246995994659545,5.0408850408850405
