Year,Caught,Length,Status
2021,41,8.203831158,Professional
2021,19,6.347264963,Professional
2021,6,8.599069912,Novice
2021,15,6.207823041,Professional
2021,2,7.01105286,Novice
2021,1,15.75,Professional
2021,1,15.416667,Novice
2021,3,12.3333,Professional
2021,1,13.666667,Novice
2021,8,9.063513567,Novice
2022,28,8.133376362,Professional
2022,15,8.144530503,Professional
2022,10,8.215112808,Novice
2022,6,6.703180048,Professional
2022,3,7.70135888,Novice
2022,3,11.083333,Professional
2022,1,9.916667,Novice
2022,1,8.583333,Professional
2022,1,8.75,Novice
2022,13,5.798998825,Military
2022,1,7.583333,Military
2022,10,8.358302339,Novice
2020,8,8.179696575,Professional
2020,6,11.583333,Novice
2020,6,8.935283078,Professional
2020,4,5.308621557,Novice
2020,3,8.643356962,Military
2020,1,12.583333,Professional
2020,1,10.583333,Professional
2020,1,11.916667,Novice
2022,1,7.915977368,Professional
2020,1,7.896536588,Novice
2021,2,9.291989666,Professional
2020,1,7.798809463,Professional
2022,2,6.602963139,Professional
2022,1,6.101103387,Novice
2022,2,7.193145607,Professional
2020,1,7.798698657,Novice
2022,1,9.210378099,Novice
2022,1,7.668764995,Novice
2022,1,7.225851995,Novice
2020,1,9.210093143,Professional
2022,2,9.105202011,Novice
2021,1,7.314555944,Military
2020,1,8.139323201,Novice
2021,1,6.998362122,Novice
2021,1,7.079876507,Novice
2020,1,6.56302355,Professional
2020,1,7.906125123,Military
2021,1,5.215425361,Novice
2020,1,6.175802114,Professional
2022,1,5.618731993,Novice
2021,1,5.039968384,Professional
2022,2,5.399378244,Professional
2021,1,7.334530192,Novice
2020,1,7.663317683,Professional
2020,1,9.212211448,Novice
2020,2,10.45228409,Novice
2022,1,6.514323226,Novice
2022,2,6.76868733,Professional
2022,2,9.264985011,Novice
2021,3,6.214488877,Professional
2021,2,9.350860815,Professional
2021,2,7.128666002,Professional
2021,1,5.580417156,Novice
2021,1,7.364892792,Novice
2020,1,9.038096535,Novice
2022,1,7.197975144,Novice
2022,1,4.825905076,Novice
2021,1,8.077271543,Novice
2020,1,5.900810136,Novice
