LOCATION,River MILE,SPP,Species Name,SDATE,Year,Season,SEX,Length(mm),Weight(g),Moisture(%),Lipid(%),Total PCB(ppm),Lipid PCB(ppm)= Total PCB/Lipid (%),OverLimit
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,F,945,1054,73.7,6.72,0.495,7.366,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,536,1700,67.6,10.3,1.08,10.485,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,545,1820,70.9,4.81,0.49,10.187,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,F,570,1865,73.6,5.46,1.09,19.963,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,F,583,2000,74.5,1.92,1.434,74.688,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,550,2050,75,2.39,0.503,21.046,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,586,2110,71.3,6.59,1.65,25.038,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,562,2120,74.2,4.96,1.31,26.411,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,617,2300,77.5,4.48,2.69,60.045,Yes
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,594,2440,70.1,8.28,1.28,15.459,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,598,2440,71.8,3.78,1.78,47.09,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,582,2480,70.5,6.24,1.23,19.712,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,615,2480,73,3.7,0.895,24.189,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,652,2600,72.1,4.2,0.523,12.452,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,596,2680,73.8,7.31,1.3,17.784,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,636,2760,72.5,3.43,0.519,15.131,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,648,2760,71.7,3.93,0.783,19.924,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,626,2780,69,3.5,1.029,29.4,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,632,2860,72.2,5.65,0.644,11.398,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,630,2880,72.8,5.4,1.038,19.222,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,632,2900,73.1,9.92,0.513,5.171,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,655,2960,70.5,6.12,0.743,12.141,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,645,3020,74.7,3.68,0.504,13.696,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,635,3040,68.8,5.12,0.522,10.195,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,737,4000,75,2.16,0.433,20.046,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,765,4290,71.3,4.68,0.574,12.265,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,773,5120,75.5,4.58,4.84,105.677,Yes
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,795,6100,69.5,8.75,0.715,8.171,No
GEORGE WASHINGTON BR.,12,STB,Striped Bass,20010416,2001,Spring,M,788,6200,71.6,7.45,1.018,13.664,No
