Year,attack_type,nearest_country,shore_distance,attack_description,vessel_status,Continent
2017,Attempted,NGA,7.586684640886708,"21.11.2017: 0050 UTC: Posn: 06:19.45N - 003:11.68E, Lagos Secure Anchorage Area, Nigeria.
Ten robbers in two boats attempted to board an anchored product tanker. Duty crew noticed the robbers and raised the alarm. Seeing the alert crew, the robbers aborted the attempted boarding. Incident reported to local agent.",Anchored,Africa
2016,Boarded,VNM,9.9360567538238,"29.07.2016: 2300 LT: Posn: 10:16.03N – 107:01.83E, Vung Tau Anchorage, Vietnam.
Robbers boarded an anchored bulk carrier. Duty crew on routine rounds noticed the robbers. Seeing the alert crew, robbers escaped with stolen ship’s stores. A search was carried out. Incident reported to VTIS Vung Tau.",Anchored,Asia
2016,Boarded,VNM,10.892582678750014,"05.01.2016: 0500 LT: Posn: 20:41.15N – 107:10.32E, Hon Gai Anchorage, Vietnam.
Robbers boarded an anchored bulk carrier, stole ship’s stores and properties and escaped unnoticed. Theft was discovered by the duty crew.",Anchored,Asia
2016,Boarded,IDN,1.52003050912419,"18.06.2016: 0110 LT: Posn: 01:41.9N – 101:29.2E, Dumai Anchorage, Indonesia.
Three robbers boarded an anchored product tanker. Duty AB on routine rounds noticed the robbers and informed the D/O who raised the alarm and crew mustered. One of the robbers rushed towards the duty AB and threatened him with a knife not to make any movements. Hearing the alarm and seeing the crew alertness, the robbers jumped overboard and escaped with their accomplices in their boat. A search was made throughout the tanker. The padlock to the steering gear room entrance was found broken, but nothing reported stolen. Attempts made to call the port control via vhf channel received no response.",Anchored,Asia
2016,Attempted,GUY,5.348154268391679,"07.11.2016: 0500 LT: Posn: Berbice Port, Guyana.
Duty officer onboard a berthed general cargo ship noticed a robber attempting to board the vessel from the stern using a hook attached to a pole. The duty officer and A/B confronted the robber and threatened to call the police resulting in the robber aborting the boarding. No injury to crew and nothing stolen.",Berthed,Americas
2017,Boarded,IND,12.398429272901522,"17.10.2017: 1630 UTC: Posn: 22:47.3N - 070:01.8E, Kandla Anchorage, India.
Two robbers boarded an anchored bulk carrier. Duty officer spotted the robbers and raised the alarm. Seeing the alerted crew, the robbers escaped with stolen ship’s properties.",Anchored,Asia
2017,Boarded,MYS,2.5063036956699745,"16.01.2017: 1930 UTC: Posn: 05:47.2N - 118:01.5E, Mowtas Oil Terminal (MOT), Sandakan Port, Sabah, Malaysia.
During cargo operations, crew onboard a berthed product tanker observed a robber on the forecastle. Seeing the alert crew approaching the forecastle the robber jumped overboard and escaped with stolen ship's stores.",Berthed,Asia
2015,Boarded,IND,6.681136871635257,"25.11.2015: 0045 LT: Posn: 17:03N – 082:24E, Kakinada Anchorage, India.
Three robbers armed with knives in a small boat approached an anchored bulk carrier. Two robbers boarded the ship and began to collecting ship’s stores to steal. Deck crew on routine rounds noticed the robbers and notified the duty officer on the bridge. Alarm raised, PA announcement made and crew mustered. Hearing the alarm and seeing the crew alertness, the robbers escaped in their boat leaving the stores onboard. Incident reported to port authorities.",Anchored,Asia
2018,Attempted,PHL,2.507594174622023,"28.07.2018: 1440 UTC: Posn: 13:44.4N – 121:01.9E, Batangas Anchorage, Philippines.
During routine rounds, duty crew onboard an anchored bulk carrier noticed an unauthorized person attempting to board the ship from a small boat using a hook attached with a rope. Duty crew informed the bridge and SSO. Alarm activated and crew mustered. Seeing the crew alertness, the person aborted the boarding attempt and escaped. Incident was reported to the local agent and the Coast Guard.",Anchored,Asia
2019,Boarded,IDN,3.1455160600437284,"21.10.2019: 1747 UTC: Posn: 06:01.3S – 105:53.8E, Cigading Anchorage, Indonesia.
Alert crew onboard an anchored bulk carrier noticed four unauthorized persons near the entrance of the engine room. Alarm raised and crew mustered. Hearing the alerted crew the persons escaped without stealing anything.",Anchored,Asia
2019,Boarded,MYS,26.31032423315451,"08.09.2019: 0908 UTC: Posn: 01:34.6N – 104:30.9E, Around 15nm East of Bandar Penawar, Johor, Malaysia.
Three persons boarded an anchored tanker via the anchor cable. They stole the forward liferaft, ship’s properties and stores and escaped. The theft was noticed through the CCTV recording.",Anchored,Asia
2019,Boarded,IDN,17.555179439770562,"19.02.2019: 1345 UTC: Posn: 03:41.36S – 114:26.46E, Taboneo Anchorage, Indonesia.
While carrying out routine rounds onboard an anchored bulk carrier, duty crew noticed the forecastle store door broken into and ship's properties missing. Incident reported to Taboneo Port Control. Marine police boarded the vessel to investigate and collect evidence.",Anchored,Asia
2016,Boarded,IDN,14.373277980148329,"10.07.2016: 0500 LT: Posn: 03:41.17S – 114:25.2W, Taboneo Anchorage, Indonesia.
Robbers boarded an anchored bulk carrier unnoticed and escaped with ship’s properties. The theft was discovered by the duty crew while performing routine rounds. Two mooring ropes were reported stolen. Port control informed.",Anchored,Asia
2018,Boarded,HTI,1.3846951412487871,"22.02.2018: 0525 UTC: Posn: 18:34.15N - 072:24.29E, Port Au Prince Anchorage, Haiti. 
Duty AB on routine rounds onboard an anchored tanker noticed robbers armed with guns on the forecastle deck and immediately raised the alarm. Crew mustered. Seeing the alerted crew, one of the robbers fired a warning shot and escaped. Crew and ship reported safe. Incident reported to Port Authorities.",Anchored,Americas
2018,Attempted,BGD,10.285484994029956,"11.02.2018: 2120 UTC: Posn: 22:07.70N - 091:43.41E, Chittagong Anchorage, Bangladesh. 
Five robbers armed with knives in a small boat attempted to board an anchored bulk carrier using ropes attached with hooks. The crew noticed the robbers and informed the Master and prepared the fire hoses to stop the robbers. Seeing the alerted crew, the robbers escaped empty handed.",Anchored,Asia
2017,Boarded,SLE,7.540304496479584,"25.01.2017: 0035 UTC: Posn: 08:27.1N - 013:21.2W, Pepel Outer Anchorage, Sierra Leone.
Three robbers with knives boarded an anchored bulk carrier. Duty crew noticed the robbers on the forecastle and notified the duty officer who raised the alarm. Robbers threatened the duty AB with knives and escaped with stolen ship’s properties.",Anchored,Africa
2015,Boarded,VNM,11.55672609248622,"16.09.2015: 0820 LT: Posn: 10:14N - 107:02E, Vung Tau Anchorage, Vietnam.
Robbers boarded an anchored bulk carrier unnoticed, stole ship’s properties and escaped. The incident was discovered later in the day.",Anchored,Asia
2018,Boarded,BGD,10.315532360020308,"16.08.2018: 1935 UTC: Posn: 22:06.7N – 091:44.7E, Chittagong Outer Anchorage, Bangladesh
Unnoticed, four robbers boarded an anchored container vessel and escaped with stolen ship's store. The theft was noticed during routine rounds. Incident reported to Chittagong Port Control.",Anchored,Asia
2018,Boarded,NGA,0.630937424105458,"24.04.2018: 0315 UTC: Posn: 06:26.82N – 003:22.58E, Berth No.8, ENL Terminal, Apapa Port, Lagos, Nigeria.
Four robbers boarded a berthed bulk carrier, took hostage and threatened the duty watchman and stole his mobile phone and VHF radio. As all the stores were secured, the robbers were unable to steal anything and escaped. The duty watchmen shouted and called for assistance. Incident reported to Apapa FPSO. A search was carried out around the area.",Berthed,Africa
2015,Boarded,COG,2.6053938298364856,"18.11.2015: 2300 UTC: Posn: 04:45S - 011:49E, Pointe Noire Anchorage, The Congo.
Duty AB onboard an anchored product tanker noticed a robber near the forecastle entrance. He immediately informed the Master who in turn raised the alarm and the 2/O made PA announcement. The deck crew members immediately rushed to the forecastle. Hearing the alarm and seeing the crew alertness, the robber escaped empty handed in a small wooden boat. Incident reported to port control and ships in the vicinity informed.",Anchored,Africa
