"","Butter"
"1","Down"
"2","Down"
"3","Up"
"4","Up"
"5","Down"
"6","Up"
"7","Up"
"8","Down"
"9","Down"
"10","Down"
"11","Up"
"12","Up"
"13","Up"
"14","Up"
"15","Up"
"16","Up"
"17","Up"
"18","Up"
"19","Up"
"20","Down"
"21","Down"
"22","Down"
"23","Up"
"24","Up"
"25","Down"
"26","Up"
"27","Down"
"28","Up"
"29","Up"
"30","Down"
"31","Down"
"32","Down"
"33","Up"
"34","Down"
"35","Up"
"36","Up"
"37","Up"
"38","Up"
"39","Up"
"40","Up"
"41","Down"
"42","Down"
"43","Up"
"44","Down"
"45","Up"
"46","Up"
"47","Up"
"48","Down"
