date,R_fighter,B_fighter,Winner,title_bout,weight_class,R_Reach_cms,B_Reach_cms,R_current_win_streak,B_current_win_streak,ReachWin,StreakWin
2018-12-08,Valentina Shevchenko,Joanna Jedrzejczyk,Red,TRUE,WomenFlyweight,167.64,165.1,1,8,Yes,No
2017-12-02,Max Holloway,Jose Aldo,Red,TRUE,Featherweight,175.26,177.8,0,7,No,No
2011-04-30,Jose Aldo,Mark Hominick,Red,TRUE,Featherweight,177.8,172.72,0,3,Yes,No
2007-04-07,Matt Serra,Georges St-Pierre,Red,TRUE,Welterweight,172.72,193.04,0,2,No,No
2008-02-02,Antonio Rodrigo Nogueira,Tim Sylvia,Red,TRUE,Heavyweight,195.58,203.2,1,3,No,No
2014-10-25,Jose Aldo,Chad Mendes,Red,TRUE,Featherweight,177.8,167.64,6,2,Yes,Yes
2020-05-09,Henry Cejudo,Dominick Cruz,Red,TRUE,Bantamweight,162.56,172.72,4,5,No,No
2016-11-12,Joanna Jedrzejczyk,Karolina Kowalkiewicz,Red,TRUE,WomenStrawweight,165.1,162.56,6,3,Yes,Yes
2011-10-08,Frankie Edgar,Gray Maynard,Red,TRUE,Lightweight,172.72,177.8,3,0,No,Yes
2010-05-08,Lyoto Machida,Mauricio Rua,Blue,TRUE,LightHeavyweight,187.96,193.04,8,0,Yes,No
2006-09-23,Matt Hughes,BJ Penn,Red,TRUE,Welterweight,185.42,177.8,2,3,Yes,No
2020-06-06,Amanda Nunes,Felicia Spencer,Red,TRUE,WomenFeatherweight,175.26,172.72,2,1,Yes,Yes
2013-12-28,Chris Weidman,Anderson Silva,Red,TRUE,Middleweight,198.12,195.58,6,16,Yes,No
2015-07-11,Chad Mendes,Conor McGregor,Blue,TRUE,Featherweight,167.64,187.96,2,5,Yes,Yes
2017-11-04,Michael Bisping,Georges St-Pierre,Blue,TRUE,Middleweight,190.5,193.04,4,2,Yes,No
2001-09-28,Jens Pulver,Dennis Hallman,Red,TRUE,Lightweight,177.8,182.88,0,1,No,No
2019-12-14,Kamaru Usman,Colby Covington,Red,TRUE,Welterweight,193.04,182.88,10,3,Yes,Yes
2016-03-05,Holly Holm,Miesha Tate,Blue,TRUE,WomenBantamweight,175.26,167.64,3,0,No,No
2017-11-04,Cody Garbrandt,TJ Dillashaw,Blue,TRUE,Bantamweight,165.1,170.18,6,0,Yes,No
2015-12-12,Chris Weidman,Luke Rockhold,Blue,TRUE,Middleweight,198.12,195.58,9,0,No,No
2014-09-27,Demetrious Johnson,Chris Cariaso,Red,TRUE,Flyweight,167.64,162.56,2,1,Yes,Yes
2018-08-04,TJ Dillashaw,Cody Garbrandt,Red,TRUE,Bantamweight,170.18,165.1,0,6,Yes,No
2008-04-19,Georges St-Pierre,Matt Serra,Red,TRUE,Welterweight,193.04,172.72,2,0,Yes,Yes
2016-06-04,Luke Rockhold,Michael Bisping,Blue,TRUE,Middleweight,195.58,190.5,0,4,No,Yes
2015-11-14,Ronda Rousey,Holly Holm,Blue,TRUE,WomenBantamweight,167.64,175.26,6,2,Yes,No
2010-03-27,Frank Mir,Shane Carwin,Blue,TRUE,Heavyweight,200.66,203.2,2,3,Yes,Yes
2015-12-19,Rafael Dos Anjos,Donald Cerrone,Red,TRUE,Lightweight,177.8,185.42,0,4,No,No
2020-03-07,Zhang Weili,Joanna Jedrzejczyk,Red,TRUE,WomenStrawweight,160.02,165.1,4,8,No,No
2018-12-29,Cristiane Justino,Amanda Nunes,Blue,TRUE,WomenFeatherweight,172.72,175.26,5,2,Yes,No
2012-09-22,Joseph Benavidez,Demetrious Johnson,Blue,TRUE,Flyweight,165.1,167.64,3,2,Yes,No
